epoch,validation_loss,batch_size,learning_rate,unfreeze_option,weight_decay
6,1.8975874468727896,32,0.001,last_two,0.01
7,1.970186250300701,32,0.001,last_two,0.01
8,1.904414262589821,32,0.001,last_two,0.01
9,1.894679891398925,32,0.001,last_two,0.01
10,1.8881603322071063,32,0.001,last_two,0.01
1,4.595480431559499,32,0.001,last_three,0.001
2,1.939897403689074,32,0.001,last_three,0.001
3,1.9078000567176125,32,0.001,last_three,0.001
4,1.9103224969679309,32,0.001,last_three,0.001
5,1.896831996979252,32,0.001,last_three,0.001
6,1.9105794629043849,32,0.001,last_three,0.001
7,1.8887259453272889,32,0.001,last_three,0.001
8,1.9010552936984646,32,0.001,last_three,0.001
9,1.9087764832281298,32,0.001,last_three,0.001
10,1.9057441981307224,32,0.001,last_three,0.001
11,1.9060194184703212,32,0.001,last_three,0.001
12,1.9080870151519775,32,0.001,last_three,0.001
13,1.8958541357622118,32,0.001,last_three,0.001
1,1.9863500294447645,32,0.001,last_three,0.005
2,1.9443267517425447,32,0.001,last_three,0.005
3,1.9158302454654772,32,0.001,last_three,0.005
4,2.0275575726612574,32,0.001,last_three,0.005
5,1.9232310525133463,32,0.001,last_three,0.005
6,1.9060933173926344,32,0.001,last_three,0.005
7,1.9253183131343807,32,0.001,last_three,0.005
8,1.907628874624929,32,0.001,last_three,0.005
9,1.9017501901671334,32,0.001,last_three,0.005
10,1.9191305109482706,32,0.001,last_three,0.005
11,1.9209374154418095,32,0.001,last_three,0.005
12,2.4161470289454083,32,0.001,last_three,0.005
13,1.9017313152464255,32,0.001,last_three,0.005
14,1.9048111798826202,32,0.001,last_three,0.005
15,1.8986378901165601,32,0.001,last_three,0.005
1,8.168010124363159,32,0.001,last_three,0.01
2,1.9228699612827245,32,0.001,last_three,0.01
3,1.9384294272867466,32,0.001,last_three,0.01
4,1.9232644356590562,32,0.001,last_three,0.01
5,1.9159816786690542,32,0.001,last_three,0.01
6,1.9574230140255344,32,0.001,last_three,0.01
7,1.917493933456734,32,0.001,last_three,0.01
8,1.9195145784585008,32,0.001,last_three,0.01
9,1.9183354147018925,32,0.001,last_three,0.01
10,1.922966768315111,32,0.001,last_three,0.01
11,1.9223140146026163,32,0.001,last_three,0.01
1,1.9278244255574917,32,0.0005,last_two,0.001
2,1.9052217261882123,32,0.0005,last_two,0.001
3,1.8631212917590771,32,0.0005,last_two,0.001
4,1.898677414113825,32,0.0005,last_two,0.001
5,1.9158740253392552,32,0.0005,last_two,0.001
6,1.8646614936090284,32,0.0005,last_two,0.001
7,1.8608479248113996,32,0.0005,last_two,0.001
8,1.8616966998472242,32,0.0005,last_two,0.001
9,1.8950228593216614,32,0.0005,last_two,0.001
10,1.8894505700058253,32,0.0005,last_two,0.001
11,1.872327847564675,32,0.0005,last_two,0.001
12,1.8883268721292445,32,0.0005,last_two,0.001
13,1.9128831450191062,32,0.0005,last_two,0.001
1,1.9291763952400678,32,0.0005,last_two,0.005
2,1.8967926935716108,32,0.0005,last_two,0.005
3,1.8974338521705694,32,0.0005,last_two,0.005
4,1.9040522893502916,32,0.0005,last_two,0.005
5,1.8878780869095206,32,0.0005,last_two,0.005
6,1.9242572700522862,32,0.0005,last_two,0.005
7,1.8950511671580876,32,0.0005,last_two,0.005
8,1.895634510999551,32,0.0005,last_two,0.005
9,1.8683118093048723,32,0.0005,last_two,0.005
10,1.8755557565045846,32,0.0005,last_two,0.005
11,1.8709757086818168,32,0.0005,last_two,0.005
12,1.8506267997176766,32,0.0005,last_two,0.005
13,1.8701769613450574,32,0.0005,last_two,0.005
14,1.867988013102512,32,0.0005,last_two,0.005
15,1.876059486019996,32,0.0005,last_two,0.005
1,1.915626681095694,32,0.0005,last_two,0.01
2,1.9320289197205798,32,0.0005,last_two,0.01
3,1.9063042849739276,32,0.0005,last_two,0.01
4,1.8988985015499977,32,0.0005,last_two,0.01
5,1.8944902339638852,32,0.0005,last_two,0.01
6,1.9020534379740963,32,0.0005,last_two,0.01
7,1.8879020430824973,32,0.0005,last_two,0.01
8,1.9060707529269356,32,0.0005,last_two,0.01
9,1.8849360096839167,32,0.0005,last_two,0.01
10,1.8984718913556544,32,0.0005,last_two,0.01
11,1.8835827213578211,32,0.0005,last_two,0.01
12,1.8892915252366724,32,0.0005,last_two,0.01
13,1.9186706133951539,32,0.0005,last_two,0.01
14,1.9230273157969948,32,0.0005,last_two,0.01
15,1.8860001868166882,32,0.0005,last_two,0.01
1,2.0267191188426312,32,0.0005,last_three,0.001
2,1.9277879936604205,32,0.0005,last_three,0.001
3,1.9734555538798357,32,0.0005,last_three,0.001
4,1.91415483581006,32,0.0005,last_three,0.001
5,2.220480011005905,32,0.0005,last_three,0.001
6,1.9107346080265437,32,0.0005,last_three,0.001
7,1.9206991013893284,32,0.0005,last_three,0.001
8,1.8939816703544683,32,0.0005,last_three,0.001
9,1.9013193754856188,32,0.0005,last_three,0.001
10,1.892767546463572,32,0.0005,last_three,0.001
11,1.8945742237253274,32,0.0005,last_three,0.001
12,1.9084556060802202,32,0.0005,last_three,0.001
13,1.8787348710896332,32,0.0005,last_three,0.001
14,1.8695623745316983,32,0.0005,last_three,0.001
15,1.934001979240574,32,0.0005,last_three,0.001
1,1.9389267104112509,32,0.0005,last_three,0.005
2,3.2837815976911977,32,0.0005,last_three,0.005
3,1.9338375232086853,32,0.0005,last_three,0.005
4,1.9117017341149518,32,0.0005,last_three,0.005
5,1.941356437297161,32,0.0005,last_three,0.005
6,1.919303243460893,32,0.0005,last_three,0.005
7,1.925468877962957,32,0.0005,last_three,0.005
8,1.8990291605247431,32,0.0005,last_three,0.005
9,1.8997342450178263,32,0.0005,last_three,0.005
10,1.919408150082809,32,0.0005,last_three,0.005
11,1.9053440461060869,32,0.0005,last_three,0.005
12,1.8973568475141553,32,0.0005,last_three,0.005
13,1.8948079228750772,32,0.0005,last_three,0.005
14,1.8995364775056363,32,0.0005,last_three,0.005
15,1.9035965920892979,32,0.0005,last_three,0.005
1,1.9621240743094526,32,0.0005,last_three,0.01
2,2.264699270298754,32,0.0005,last_three,0.01
3,1.9220249736763515,32,0.0005,last_three,0.01
4,1.9216046952082615,32,0.0005,last_three,0.01
5,1.937095974197835,32,0.0005,last_three,0.01
6,1.9270218988317898,32,0.0005,last_three,0.01
7,1.9215381428643057,32,0.0005,last_three,0.01
8,1.8974534301114572,32,0.0005,last_three,0.01
9,1.8935424327151167,32,0.0005,last_three,0.01
10,1.897827439294183,32,0.0005,last_three,0.01
11,1.8980330665789742,32,0.0005,last_three,0.01
12,1.9063128533601061,32,0.0005,last_three,0.01
13,1.8920441481374926,32,0.0005,last_three,0.01
14,1.8964983266819258,32,0.0005,last_three,0.01
15,1.9008919168427543,32,0.0005,last_three,0.01
