epoch,validation_loss,batch_size,learning_rate,unfreeze_option,weight_decay,augument
13,1.9007824536916371,32,0.001,last_two,0.0025,True
14,1.8979493824211326,32,0.001,last_two,0.0025,True
15,1.9013556238767264,32,0.001,last_two,0.0025,True
1,1.9763336706805874,32,0.001,last_two,0.005,False
2,2.043607398948154,32,0.001,last_two,0.005,False
3,1.9035251842962728,32,0.001,last_two,0.005,False
4,1.9092568097887812,32,0.001,last_two,0.005,False
5,1.901780313092309,32,0.001,last_two,0.005,False
6,1.9010169193551347,32,0.001,last_two,0.005,False
7,1.8916807016810855,32,0.001,last_two,0.005,False
8,1.8950938598529712,32,0.001,last_two,0.005,False
9,1.9014116432215717,32,0.001,last_two,0.005,False
10,1.901685986969922,32,0.001,last_two,0.005,False
11,1.8914241220500019,32,0.001,last_two,0.005,False
12,1.8944440973771586,32,0.001,last_two,0.005,False
13,1.8884798169136048,32,0.001,last_two,0.005,False
14,1.8973605433025875,32,0.001,last_two,0.005,False
15,1.8864666252522855,32,0.001,last_two,0.005,False
1,1.9451741953153867,32,0.001,last_two,0.005,True
2,2.036527017644934,32,0.001,last_two,0.005,True
3,1.9259731247618392,32,0.001,last_two,0.005,True
4,1.9124254255681425,32,0.001,last_two,0.005,True
5,1.903358885404226,32,0.001,last_two,0.005,True
6,1.9014749514090048,32,0.001,last_two,0.005,True
7,1.90475923918389,32,0.001,last_two,0.005,True
8,1.9076879907298732,32,0.001,last_two,0.005,True
9,1.9158454895019532,32,0.001,last_two,0.005,True
10,1.8977213405274056,32,0.001,last_two,0.005,True
11,1.9031715953672255,32,0.001,last_two,0.005,True
12,1.9058349963780996,32,0.001,last_two,0.005,True
13,1.8961076652681506,32,0.001,last_two,0.005,True
14,1.8973185825992276,32,0.001,last_two,0.005,True
15,1.8948718969886367,32,0.001,last_two,0.005,True
1,1.9443065327567024,32,0.00075,last_two,0.0005,False
2,1.9570971488952638,32,0.00075,last_two,0.0005,False
3,1.8748322457880586,32,0.00075,last_two,0.0005,False
4,1.8878694099348945,32,0.00075,last_two,0.0005,False
5,1.8853084560987112,32,0.00075,last_two,0.0005,False
6,1.9013789876087293,32,0.00075,last_two,0.0005,False
7,1.8771008111335137,32,0.00075,last_two,0.0005,False
8,1.8526035305616018,32,0.00075,last_two,0.0005,False
9,1.8704642311946766,32,0.00075,last_two,0.0005,False
10,1.8592678543683645,32,0.00075,last_two,0.0005,False
11,1.8559222653105452,32,0.00075,last_two,0.0005,False
12,1.8636042569134685,32,0.00075,last_two,0.0005,False
13,1.8649665887291367,32,0.00075,last_two,0.0005,False
14,1.883957261974747,32,0.00075,last_two,0.0005,False
1,1.9320528230151615,32,0.00075,last_two,0.0005,True
2,1.900994840505961,32,0.00075,last_two,0.0005,True
3,1.9523894274556959,32,0.00075,last_two,0.0005,True
4,1.9022742748260497,32,0.00075,last_two,0.0005,True
5,1.8876248817186099,32,0.00075,last_two,0.0005,True
6,1.8969627154840005,32,0.00075,last_two,0.0005,True
7,1.9491027374525327,32,0.00075,last_two,0.0005,True
8,1.9244974020365122,32,0.00075,last_two,0.0005,True
9,1.9016897050110069,32,0.00075,last_two,0.0005,True
10,1.9104456253953883,32,0.00075,last_two,0.0005,True
11,1.8846454710573763,32,0.00075,last_two,0.0005,True
12,1.890875451307039,32,0.00075,last_two,0.0005,True
13,1.8859084512736346,32,0.00075,last_two,0.0005,True
14,1.8980283318339168,32,0.00075,last_two,0.0005,True
15,1.8957530959232434,32,0.00075,last_two,0.0005,True
1,1.9086531642320994,32,0.00075,last_two,0.001,False
2,1.8869702941662556,32,0.00075,last_two,0.001,False
3,1.9091190566887726,32,0.00075,last_two,0.001,False
4,1.9145375435416763,32,0.00075,last_two,0.001,False
5,1.8715545644631257,32,0.00075,last_two,0.001,False
6,1.8738275289535522,32,0.00075,last_two,0.001,False
7,1.8779646689827378,32,0.00075,last_two,0.001,False
8,1.8803388576249818,32,0.00075,last_two,0.001,False
9,1.863146114027178,32,0.00075,last_two,0.001,False
10,1.862866395228618,32,0.00075,last_two,0.001,False
11,1.856836115991747,32,0.00075,last_two,0.001,False
12,1.8643942707293741,32,0.00075,last_two,0.001,False
13,1.873644645794018,32,0.00075,last_two,0.001,False
14,1.8680070464675491,32,0.00075,last_two,0.001,False
15,1.8610155498659289,32,0.00075,last_two,0.001,False
1,1.9718325189642003,32,0.00075,last_two,0.001,True
2,1.9065039844126315,32,0.00075,last_two,0.001,True
3,1.9273483785423073,32,0.00075,last_two,0.001,True
4,1.934261155128479,32,0.00075,last_two,0.001,True
5,1.9151509217313818,32,0.00075,last_two,0.001,True
6,1.9127316945307964,32,0.00075,last_two,0.001,True
7,1.90141784307119,32,0.00075,last_two,0.001,True
8,1.9100796531986546,32,0.00075,last_two,0.001,True
9,1.913329456625758,32,0.00075,last_two,0.001,True
10,1.8975823334745459,32,0.00075,last_two,0.001,True
11,1.908149165720553,32,0.00075,last_two,0.001,True
12,1.899583364821769,32,0.00075,last_two,0.001,True
13,1.9104537441923812,32,0.00075,last_two,0.001,True
14,1.8938694963584075,32,0.00075,last_two,0.001,True
15,1.8939412725938334,32,0.00075,last_two,0.001,True
1,1.9302383165101746,32,0.00075,last_two,0.0025,False
2,1.909389334755975,32,0.00075,last_two,0.0025,False
3,1.9158616871447176,32,0.00075,last_two,0.0025,False
4,1.9029091806025118,32,0.00075,last_two,0.0025,False
5,1.8885991331693288,32,0.00075,last_two,0.0025,False
6,1.8873421391925296,32,0.00075,last_two,0.0025,False
7,1.8961615871738744,32,0.00075,last_two,0.0025,False
8,1.8768940461648478,32,0.00075,last_two,0.0025,False
9,1.878886170645018,32,0.00075,last_two,0.0025,False
10,1.879769178338953,32,0.00075,last_two,0.0025,False
11,1.908432472074354,32,0.00075,last_two,0.0025,False
12,1.8709315290322175,32,0.00075,last_two,0.0025,False
13,1.8715411672721038,32,0.00075,last_two,0.0025,False
14,1.8676678734856682,32,0.00075,last_two,0.0025,False
15,1.8679002626522168,32,0.00075,last_two,0.0025,False
1,2.0142385350691305,32,0.00075,last_two,0.0025,True
2,1.9463357020068812,32,0.00075,last_two,0.0025,True
3,1.9267726021843987,32,0.00075,last_two,0.0025,True
4,1.9411979172680829,32,0.00075,last_two,0.0025,True
5,1.9234344192453332,32,0.00075,last_two,0.0025,True
6,1.8913369778040292,32,0.00075,last_two,0.0025,True
7,1.9029435028900972,32,0.00075,last_two,0.0025,True
8,1.9297172262861921,32,0.00075,last_two,0.0025,True
9,1.8987193342801687,32,0.00075,last_two,0.0025,True
10,1.900028855414004,32,0.00075,last_two,0.0025,True
11,1.8974295654812374,32,0.00075,last_two,0.0025,True
12,1.9199113646069088,32,0.00075,last_two,0.0025,True
1,1.9356551231564703,32,0.00075,last_two,0.005,False
2,1.9265840182433258,32,0.00075,last_two,0.005,False
3,1.9219977846016756,32,0.00075,last_two,0.005,False
4,1.9125157365927825,32,0.00075,last_two,0.005,False
5,1.8866049070616027,32,0.00075,last_two,0.005,False
6,1.896919389028807,32,0.00075,last_two,0.005,False
7,1.8908630561184239,32,0.00075,last_two,0.005,False
8,1.888204556864661,32,0.00075,last_two,0.005,False
9,1.8788445327733014,32,0.00075,last_two,0.005,False
10,1.8793008246937313,32,0.00075,last_two,0.005,False
11,1.8806854212606274,32,0.00075,last_two,0.005,False
12,1.879600503637984,32,0.00075,last_two,0.005,False
13,1.883666074920345,32,0.00075,last_two,0.005,False
14,1.8734852942260536,32,0.00075,last_two,0.005,False
15,1.8764772502151696,32,0.00075,last_two,0.005,False
1,1.935867045376752,32,0.00075,last_two,0.005,True
2,1.9695213739936417,32,0.00075,last_two,0.005,True
3,1.924369281691474,32,0.00075,last_two,0.005,True
4,1.9434860893197963,32,0.00075,last_two,0.005,True
5,1.9089270095567445,32,0.00075,last_two,0.005,True
6,1.9136943291973423,32,0.00075,last_two,0.005,True
7,1.9073305719607585,32,0.00075,last_two,0.005,True
8,1.9044424508069013,32,0.00075,last_two,0.005,True
9,1.9008708789541915,32,0.00075,last_two,0.005,True
10,1.9127243663813618,32,0.00075,last_two,0.005,True
11,1.899877509233114,32,0.00075,last_two,0.005,True
12,1.9173962725175393,32,0.00075,last_two,0.005,True
13,1.9110802463583043,32,0.00075,last_two,0.005,True
14,1.9007335566185617,32,0.00075,last_two,0.005,True
15,1.9003787778519294,32,0.00075,last_two,0.005,True
1,1.9325589136944876,32,0.0005,last_two,0.0005,False
2,1.8986633638540904,32,0.0005,last_two,0.0005,False
3,1.9549889097611108,32,0.0005,last_two,0.0005,False
4,1.9170478959878285,32,0.0005,last_two,0.0005,False
5,1.9374891661935383,32,0.0005,last_two,0.0005,False
6,1.8592574334806866,32,0.0005,last_two,0.0005,False
7,1.8983118530776766,32,0.0005,last_two,0.0005,False
8,1.8911222255892224,32,0.0005,last_two,0.0005,False
9,1.8912966943449445,32,0.0005,last_two,0.0005,False
10,1.93891362382306,32,0.0005,last_two,0.0005,False
11,1.9375999003648758,32,0.0005,last_two,0.0005,False
12,1.9445852746566137,32,0.0005,last_two,0.0005,False
1,1.9529670526583989,32,0.0005,last_two,0.0005,True
2,1.9069613307714461,32,0.0005,last_two,0.0005,True
3,1.9159488144848082,32,0.0005,last_two,0.0005,True
4,1.8934564262628555,32,0.0005,last_two,0.0005,True
5,1.9235863781637617,32,0.0005,last_two,0.0005,True
6,1.9156964391469955,32,0.0005,last_two,0.0005,True
7,1.908805431922277,32,0.0005,last_two,0.0005,True
8,1.9313086258040535,32,0.0005,last_two,0.0005,True
9,1.907293544544114,32,0.0005,last_two,0.0005,True
10,1.9090148409207661,32,0.0005,last_two,0.0005,True
1,1.973868038256963,32,0.0005,last_two,0.001,False
2,1.9828577038314608,32,0.0005,last_two,0.001,False
3,1.8903088046444787,32,0.0005,last_two,0.001,False
4,1.8990767886241278,32,0.0005,last_two,0.001,False
5,1.9150442865159776,32,0.0005,last_two,0.001,False
6,1.9253053648604288,32,0.0005,last_two,0.001,False
7,1.9066973014010324,32,0.0005,last_two,0.001,False
8,1.8717627058426538,32,0.0005,last_two,0.001,False
9,1.8909017837709852,32,0.0005,last_two,0.001,False
10,1.8797600090503692,32,0.0005,last_two,0.001,False
11,1.8904029750161702,32,0.0005,last_two,0.001,False
12,1.8911270164781147,32,0.0005,last_two,0.001,False
13,1.891043516331249,32,0.0005,last_two,0.001,False
14,1.8947332733207278,32,0.0005,last_two,0.001,False
1,1.9976221551497777,32,0.0005,last_two,0.001,True
2,2.035724899172783,32,0.0005,last_two,0.001,True
3,1.9923086480961905,32,0.0005,last_two,0.001,True
4,1.8998746732870737,32,0.0005,last_two,0.001,True
5,1.9769497176011404,32,0.0005,last_two,0.001,True
6,1.9047007017665438,32,0.0005,last_two,0.001,True
7,1.8997786713971032,32,0.0005,last_two,0.001,True
8,1.909636817375819,32,0.0005,last_two,0.001,True
9,1.9155601504776212,32,0.0005,last_two,0.001,True
10,1.9144189202123219,32,0.0005,last_two,0.001,True
11,1.897238266468048,32,0.0005,last_two,0.001,True
12,1.899497275882297,32,0.0005,last_two,0.001,True
13,1.886993020441797,32,0.0005,last_two,0.001,True
14,1.8995657844675913,32,0.0005,last_two,0.001,True
15,1.8762210041284562,32,0.0005,last_two,0.001,True
1,1.923874690466457,32,0.0005,last_two,0.0025,False
2,1.9091013666656282,32,0.0005,last_two,0.0025,False
3,1.9234519902202818,32,0.0005,last_two,0.0025,False
4,1.9461993436018625,32,0.0005,last_two,0.0025,False
5,1.9061162362496058,32,0.0005,last_two,0.0025,False
6,1.8967892613675859,32,0.0005,last_two,0.0025,False
7,1.8888007766670651,32,0.0005,last_two,0.0025,False
8,1.9492299427588782,32,0.0005,last_two,0.0025,False
9,1.8926289074950748,32,0.0005,last_two,0.0025,False
10,1.8822890639305114,32,0.0005,last_two,0.0025,False
11,1.8781280358632406,32,0.0005,last_two,0.0025,False
12,1.8957385043303172,32,0.0005,last_two,0.0025,False
13,1.9066669983996285,32,0.0005,last_two,0.0025,False
14,1.8711132264799542,32,0.0005,last_two,0.0025,False
15,1.8868085473775864,32,0.0005,last_two,0.0025,False
1,1.9065448645088408,32,0.0005,last_two,0.0025,True
2,1.9829990430010689,32,0.0005,last_two,0.0025,True
3,1.9233049707280265,32,0.0005,last_two,0.0025,True
4,1.920717296666569,32,0.0005,last_two,0.0025,True
5,1.9106111625830333,32,0.0005,last_two,0.0025,True
6,1.9222664697302712,32,0.0005,last_two,0.0025,True
7,1.8954503847493065,32,0.0005,last_two,0.0025,True
8,1.922944610979822,32,0.0005,last_two,0.0025,True
9,1.9010237389140658,32,0.0005,last_two,0.0025,True
10,1.91599296828111,32,0.0005,last_two,0.0025,True
11,1.8959787812497881,32,0.0005,last_two,0.0025,True
12,1.896571272280481,32,0.0005,last_two,0.0025,True
13,1.885491301284896,32,0.0005,last_two,0.0025,True
14,1.8804888761705822,32,0.0005,last_two,0.0025,True
15,1.883223185605473,32,0.0005,last_two,0.0025,True
1,1.9242351257138781,32,0.0005,last_two,0.005,False
2,1.9197045342789756,32,0.0005,last_two,0.005,False
3,1.9432043059004678,32,0.0005,last_two,0.005,False
4,1.9021033744017284,32,0.0005,last_two,0.005,False
5,1.8943812088833916,32,0.0005,last_two,0.005,False
6,1.9044435487853155,32,0.0005,last_two,0.005,False
7,1.9062905215554766,32,0.0005,last_two,0.005,False
8,1.8879749000072479,32,0.0005,last_two,0.005,False
9,1.8733448442485598,32,0.0005,last_two,0.005,False
10,1.8972803182072109,32,0.0005,last_two,0.005,False
11,1.8860417369339202,32,0.0005,last_two,0.005,False
12,1.8980221990081998,32,0.0005,last_two,0.005,False
13,1.8855582611428368,32,0.0005,last_two,0.005,False
14,1.8700478285551072,32,0.0005,last_two,0.005,False
15,1.870625078678131,32,0.0005,last_two,0.005,False
1,1.9921884606281917,32,0.0005,last_two,0.005,True
2,1.9549341453446283,32,0.0005,last_two,0.005,True
3,1.9327556782298618,32,0.0005,last_two,0.005,True
4,1.953801315691736,32,0.0005,last_two,0.005,True
5,1.912517069445716,32,0.0005,last_two,0.005,True
6,1.911710078848733,32,0.0005,last_two,0.005,True
7,1.9187608238723544,32,0.0005,last_two,0.005,True
8,1.8995835529433356,32,0.0005,last_two,0.005,True
9,1.912591211994489,32,0.0005,last_two,0.005,True
10,1.9081447290049658,32,0.0005,last_two,0.005,True
11,1.906476166513231,32,0.0005,last_two,0.005,True
12,1.9088821298546261,32,0.0005,last_two,0.005,True
13,1.895455464720726,32,0.0005,last_two,0.005,True
14,1.898197465803888,32,0.0005,last_two,0.005,True
15,1.8983512332042058,32,0.0005,last_two,0.005,True
1,1.9196891314453548,32,0.00025,last_two,0.0005,False
2,1.9310912334256702,32,0.00025,last_two,0.0005,False
3,1.9265905168321398,32,0.00025,last_two,0.0005,False
4,1.9146980149878396,32,0.00025,last_two,0.0005,False
5,1.9385789887772666,32,0.00025,last_two,0.0005,False
6,1.9348639137215085,32,0.00025,last_two,0.0005,False
7,1.9307052042749193,32,0.00025,last_two,0.0005,False
8,1.952291793955697,32,0.00025,last_two,0.0005,False
9,1.9605506542656157,32,0.00025,last_two,0.0005,False
10,2.009776023692555,32,0.00025,last_two,0.0005,False
1,1.969925723804368,32,0.00025,last_two,0.0005,True
2,1.9295004000266394,32,0.00025,last_two,0.0005,True
3,1.9271543578969108,32,0.00025,last_two,0.0005,True
4,1.9044791609048843,32,0.00025,last_two,0.0005,True
5,1.9103580766254,32,0.00025,last_two,0.0005,True
6,1.8914264347818164,32,0.00025,last_two,0.0005,True
7,1.9239064508014254,32,0.00025,last_two,0.0005,True
8,1.9421165572272407,32,0.00025,last_two,0.0005,True
9,1.9889338294665018,32,0.00025,last_two,0.0005,True
10,1.9940967188941108,32,0.00025,last_two,0.0005,True
11,1.9143934845924377,32,0.00025,last_two,0.0005,True
12,1.9622298035356733,32,0.00025,last_two,0.0005,True
1,1.8935747302240795,32,0.00025,last_two,0.001,False
2,1.926207971572876,32,0.00025,last_two,0.001,False
3,1.9022594922118716,32,0.00025,last_two,0.001,False
4,1.8970505976014667,32,0.00025,last_two,0.001,False
5,1.9023647861348258,32,0.00025,last_two,0.001,False
6,1.9159376528528003,32,0.00025,last_two,0.001,False
7,1.906931123468611,32,0.00025,last_two,0.001,False
1,1.9289711932341258,32,0.00025,last_two,0.001,True
2,1.9582654135094748,32,0.00025,last_two,0.001,True
3,1.9321503741873636,32,0.00025,last_two,0.001,True
4,1.9361808654334811,32,0.00025,last_two,0.001,True
5,1.9172067552804948,32,0.00025,last_two,0.001,True
6,1.9391401131947836,32,0.00025,last_two,0.001,True
7,1.8942188809315363,32,0.00025,last_two,0.001,True
8,1.9329552994834052,32,0.00025,last_two,0.001,True
9,1.921064739757114,32,0.00025,last_two,0.001,True
10,1.982201588153839,32,0.00025,last_two,0.001,True
11,1.9300333231687545,32,0.00025,last_two,0.001,True
12,1.971253804365794,32,0.00025,last_two,0.001,True
13,2.0070014870829054,32,0.00025,last_two,0.001,True
1,1.9358755886554717,32,0.00025,last_two,0.0025,False
2,1.9185974564817216,32,0.00025,last_two,0.0025,False
3,1.9017546210024092,32,0.00025,last_two,0.0025,False
4,1.9183815052111943,32,0.00025,last_two,0.0025,False
5,1.892202885614501,32,0.00025,last_two,0.0025,False
6,1.9055621640549765,32,0.00025,last_two,0.0025,False
7,1.9538828601439795,32,0.00025,last_two,0.0025,False
8,1.883649919099278,32,0.00025,last_two,0.0025,False
9,1.9005484130647448,32,0.00025,last_two,0.0025,False
10,1.8590806401438182,32,0.00025,last_two,0.0025,False
11,1.8782533235020107,32,0.00025,last_two,0.0025,False
12,1.8838758723603355,32,0.00025,last_two,0.0025,False
13,1.860452440712187,32,0.00025,last_two,0.0025,False
14,1.8588616712225807,32,0.00025,last_two,0.0025,False
15,1.8837982280386818,32,0.00025,last_two,0.0025,False
1,1.9496944410933388,32,0.00025,last_two,0.0025,True
2,1.8953891552156872,32,0.00025,last_two,0.0025,True
3,1.9592640539010366,32,0.00025,last_two,0.0025,True
4,1.9166673252979913,32,0.00025,last_two,0.0025,True
5,1.9577919913662805,32,0.00025,last_two,0.0025,True
6,1.913720522655381,32,0.00025,last_two,0.0025,True
7,1.8974625094069375,32,0.00025,last_two,0.0025,True
8,1.9116394907236098,32,0.00025,last_two,0.0025,True
1,1.9136164628797108,32,0.00025,last_two,0.005,False
2,1.905013374818696,32,0.00025,last_two,0.005,False
3,1.9069457782639399,32,0.00025,last_two,0.005,False
4,1.9180638912651273,32,0.00025,last_two,0.005,False
5,1.8916483557886548,32,0.00025,last_two,0.005,False
6,1.8713792069090738,32,0.00025,last_two,0.005,False
7,1.9296698504024081,32,0.00025,last_two,0.005,False
8,1.878155686126815,32,0.00025,last_two,0.005,False
9,1.9107094271315468,32,0.00025,last_two,0.005,False
10,1.8547853738069535,32,0.00025,last_two,0.005,False
11,1.8588320824835036,32,0.00025,last_two,0.005,False
12,1.8528775403896967,32,0.00025,last_two,0.005,False
13,1.8602856520149442,32,0.00025,last_two,0.005,False
14,1.8730449967914158,32,0.00025,last_two,0.005,False
15,1.8531751675738228,32,0.00025,last_two,0.005,False
1,2.043558253844579,32,0.00025,last_two,0.005,True
2,1.9540467537111705,32,0.00025,last_two,0.005,True
3,1.9305221087402769,32,0.00025,last_two,0.005,True
4,1.935497783952289,32,0.00025,last_two,0.005,True
5,1.9011520561244752,32,0.00025,last_two,0.005,True
6,1.922821937998136,32,0.00025,last_two,0.005,True
7,1.915543477402793,32,0.00025,last_two,0.005,True
8,1.907955941889021,32,0.00025,last_two,0.005,True
9,1.9046700325277117,32,0.00025,last_two,0.005,True
10,1.8990002383788427,32,0.00025,last_two,0.005,True
11,1.9116848680708143,32,0.00025,last_two,0.005,True
12,1.9103759851720599,32,0.00025,last_two,0.005,True
13,1.8870641499757768,32,0.00025,last_two,0.005,True
14,1.8854625986682043,32,0.00025,last_two,0.005,True
15,1.8867862850427628,32,0.00025,last_two,0.005,True
